open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
134.04,134.67,132.71,134.3,61091500.0,134.67,132.71,134.3,134.04,61170883.0,1.0,0.0,AMZN,XNAS,2023-07-13
130.31,131.26,128.83,130.8,53899900.0,131.26,128.83,130.8,130.31,54022847.0,1.0,0.0,AMZN,XNAS,2023-07-12
127.75,129.77,127.35,128.78,49890700.0,129.77,127.35,128.78,127.75,49951460.0,1.0,0.0,AMZN,XNAS,2023-07-11
129.07,129.28,125.92,127.13,61446000.0,129.28,125.915,127.13,129.07,61889289.0,1.0,0.0,AMZN,XNAS,2023-07-10
128.59,130.97,128.13,129.78,41928700.0,130.97,128.1294,129.78,128.59,41992251.0,1.0,0.0,AMZN,XNAS,2023-07-07
128.25,128.73,127.37,128.36,40639900.0,128.73,127.37,128.36,128.25,40697848.0,1.0,0.0,AMZN,XNAS,2023-07-06
130.24,131.4,129.64,130.38,35790400.0,131.4,129.64,130.38,130.24,35895409.0,1.0,0.0,AMZN,XNAS,2023-07-05
130.82,131.85,130.065,130.22,28264785.0,131.85,130.065,130.22,130.82,28264785.0,1.0,0.0,AMZN,XNAS,2023-07-03
129.47,131.25,128.95,130.36,54310500.0,131.245,128.95,130.36,129.47,54350684.0,1.0,0.0,AMZN,XNAS,2023-06-30
128.77,129.26,127.255,127.9,40449552.0,129.26,127.255,127.9,128.77,40760959.0,1.0,0.0,AMZN,XNAS,2023-06-29
128.94,131.48,128.44,129.04,51695900.0,131.48,128.44,129.04,128.94,52149512.0,1.0,0.0,AMZN,XNAS,2023-06-28
128.63,130.09,127.55,129.18,46693100.0,130.085,127.55,129.18,128.63,46801008.0,1.0,0.0,AMZN,XNAS,2023-06-27
129.33,131.49,127.1,127.33,59878500.0,131.49,127.1,127.33,129.33,59989317.0,1.0,0.0,AMZN,XNAS,2023-06-26
129.11,130.84,128.28,129.33,71855200.0,130.84,128.28,129.33,129.11,71927776.0,1.0,0.0,AMZN,XNAS,2023-06-23
125.31,130.33,125.14,130.15,90354600.0,130.33,125.14,130.15,125.31,90354572.0,1.0,0.0,AMZN,XNAS,2023-06-22
125.64,126.73,123.85,124.83,52137700.0,126.73,123.85,124.83,125.64,52137670.0,1.0,0.0,AMZN,XNAS,2023-06-21
124.97,127.25,124.5,125.78,56930100.0,127.25,124.5,125.78,124.97,56930122.0,1.0,0.0,AMZN,XNAS,2023-06-20
127.71,127.9,125.3,125.49,84188100.0,127.9,125.3,125.49,127.71,84247104.0,1.0,0.0,AMZN,XNAS,2023-06-16
125.21,127.69,124.32,127.11,60458500.0,127.69,124.32,127.11,125.21,60458471.0,1.0,0.0,AMZN,XNAS,2023-06-15
126.7,126.95,124.12,126.42,52422500.0,126.95,124.12,126.42,126.7,52422463.0,1.0,0.0,AMZN,XNAS,2023-06-14
128.12,128.41,125.18,126.66,50564800.0,128.41,125.18,126.66,128.12,50564785.0,1.0,0.0,AMZN,XNAS,2023-06-13
124.02,126.78,123.53,126.57,51338000.0,126.78,123.53,126.57,124.02,51473376.0,1.0,0.0,AMZN,XNAS,2023-06-12
124.08,125.8,123.19,123.43,51330000.0,125.8,123.19,123.43,124.08,51396018.0,1.0,0.0,AMZN,XNAS,2023-06-09
123.01,125.63,122.26,124.25,62159300.0,125.625,122.2579,124.25,123.01,62159270.0,1.0,0.0,AMZN,XNAS,2023-06-08
127.01,127.37,120.63,121.23,95663300.0,127.365,120.63,121.23,127.01,95663275.0,1.0,0.0,AMZN,XNAS,2023-06-07
125.07,127.4,125.0,126.61,45695200.0,127.4,125.0,126.61,125.07,45695212.0,1.0,0.0,AMZN,XNAS,2023-06-06
123.36,125.8,123.03,125.3,47950100.0,125.8,123.03,125.3,123.36,47950128.0,1.0,0.0,AMZN,XNAS,2023-06-05
124.92,126.39,124.02,124.25,61215000.0,126.39,124.015,124.25,124.92,61264414.0,1.0,0.0,AMZN,XNAS,2023-06-02
120.69,123.49,119.93,122.77,54375100.0,123.49,119.93,122.77,120.69,54375131.0,1.0,0.0,AMZN,XNAS,2023-06-01
121.45,122.04,119.17,120.58,72800800.0,122.04,119.17,120.58,121.45,71769273.0,1.0,0.0,AMZN,XNAS,2023-05-31
122.37,122.92,119.86,121.66,64314800.0,122.92,119.855,121.66,122.37,64314808.0,1.0,0.0,AMZN,XNAS,2023-05-30
116.04,121.5,116.02,120.11,96681000.0,121.5,116.02,120.11,116.04,96779889.0,1.0,0.0,AMZN,XNAS,2023-05-26
116.63,116.87,114.31,115.0,66496700.0,116.87,114.31,115.0,116.63,66496681.0,1.0,0.0,AMZN,XNAS,2023-05-25
115.35,117.34,115.02,116.75,63487900.0,117.34,115.02,116.75,115.35,63487938.0,1.0,0.0,AMZN,XNAS,2023-05-24
114.27,117.14,113.78,114.99,67576300.0,117.14,113.78,114.99,114.27,67576262.0,1.0,0.0,AMZN,XNAS,2023-05-23
116.77,116.77,114.25,115.01,70741100.0,116.77,114.25,115.01,116.77,70741123.0,1.0,0.0,AMZN,XNAS,2023-05-22
118.16,118.31,115.7,116.25,54990200.0,118.31,115.7,116.25,118.16,55056307.0,1.0,0.0,AMZN,XNAS,2023-05-19
116.69,118.6,116.34,118.15,73174100.0,118.6,116.335,118.15,116.69,73174087.0,1.0,0.0,AMZN,XNAS,2023-05-18
114.89,115.83,114.22,115.5,65655200.0,115.83,114.22,115.5,114.89,65655177.0,1.0,0.0,AMZN,XNAS,2023-05-17
111.05,114.7899,111.05,113.4,71472914.0,114.7899,111.05,113.4,111.05,71472908.0,1.0,0.0,AMZN,XNAS,2023-05-16
111.15,112.29,109.25,111.2,53011152.0,112.29,109.25,111.2,111.15,53011145.0,1.0,0.0,AMZN,XNAS,2023-05-15
112.16,112.64,109.32,110.26,49810100.0,112.64,109.3185,110.26,112.16,49852671.0,1.0,0.0,AMZN,XNAS,2023-05-12
111.03,113.28,110.49,112.18,74924800.0,113.28,110.49,112.18,111.03,74924841.0,1.0,0.0,AMZN,XNAS,2023-05-11
108.1,110.67,108.05,110.19,78627600.0,110.67,108.05,110.19,108.1,78627616.0,1.0,0.0,AMZN,XNAS,2023-05-10
105.48,106.79,105.16,106.62,44089400.0,106.79,105.1567,106.62,105.48,44089359.0,1.0,0.0,AMZN,XNAS,2023-05-09
105.04,106.1,104.7,105.83,49430900.0,106.095,104.7001,105.83,105.04,49430909.0,1.0,0.0,AMZN,XNAS,2023-05-08
104.27,105.76,103.55,105.66,56912900.0,105.76,103.55,105.66,104.27,56951744.0,1.0,0.0,AMZN,XNAS,2023-05-05
104.04,105.39,103.31,104.0,45345500.0,105.39,103.3117,104.0,104.04,45345523.0,1.0,0.0,AMZN,XNAS,2023-05-04
103.74,105.96,103.28,103.65,65051900.0,105.96,103.28,103.65,103.735,65051925.0,1.0,0.0,AMZN,XNAS,2023-05-03
101.47,103.9,101.15,103.63,73469400.0,103.9,101.15,103.63,101.47,73469350.0,1.0,0.0,AMZN,XNAS,2023-05-02
104.95,105.23,101.82,102.05,74728100.0,105.23,101.82,102.05,104.95,74728096.0,1.0,0.0,AMZN,XNAS,2023-05-01
107.73,109.48,104.33,105.45,130565000.0,109.48,104.33,105.45,107.73,130715946.0,1.0,0.0,AMZN,XNAS,2023-04-28
108.16,110.86,106.8,109.82,144333600.0,110.86,106.8,109.82,108.16,149961167.0,1.0,0.0,AMZN,XNAS,2023-04-27
105.04,106.62,104.1,104.98,73514700.0,106.62,104.1,104.98,105.04,71821215.0,1.0,0.0,AMZN,XNAS,2023-04-26
104.91,105.45,102.45,102.57,63783400.0,105.45,102.45,102.57,104.91,65026818.0,1.0,0.0,AMZN,XNAS,2023-04-25
107.66,109.23,105.07,106.21,69513400.0,109.23,105.07,106.21,107.655,69575610.0,1.0,0.0,AMZN,XNAS,2023-04-24
106.1,108.15,105.08,106.96,86689700.0,108.15,105.08,106.96,106.1,86774185.0,1.0,0.0,AMZN,XNAS,2023-04-21
103.53,105.25,103.21,103.81,57622000.0,105.25,103.21,103.81,103.53,57696866.0,1.0,0.0,AMZN,XNAS,2023-04-20
101.58,105.12,101.39,104.3,58284900.0,105.12,101.39,104.3,101.58,58398890.0,1.0,0.0,AMZN,XNAS,2023-04-19
103.95,104.2,101.52,102.3,39723900.0,104.2,101.52,102.3,103.95,39790518.0,1.0,0.0,AMZN,XNAS,2023-04-18
103.16,103.73,101.59,102.74,39890300.0,103.73,101.59,102.74,103.16,39791535.0,1.0,0.0,AMZN,XNAS,2023-04-17
102.07,103.2,101.11,102.51,51388300.0,103.2013,101.11,102.51,102.07,51450522.0,1.0,0.0,AMZN,XNAS,2023-04-14
98.95,102.57,98.71,102.4,67838100.0,102.57,98.71,102.4,98.95,67925138.0,1.0,0.0,AMZN,XNAS,2023-04-13
100.4,100.51,97.71,97.83,56639400.0,100.51,97.705,97.83,100.4,56735007.0,1.0,0.0,AMZN,XNAS,2023-04-12
100.8,101.0,99.01,99.92,60349000.0,101.0,99.01,99.92,100.8,60417847.0,1.0,0.0,AMZN,XNAS,2023-04-11
100.96,102.2,99.57,102.17,37221500.0,102.2,99.57,102.17,100.96,37261185.0,1.0,0.0,AMZN,XNAS,2023-04-10
100.75,102.3817,99.8008,102.06,43808020.0,102.3817,99.8008,102.06,100.75,43808020.0,1.0,0.0,AMZN,XNAS,2023-04-06
103.91,103.91,100.75,101.1,45103000.0,103.91,100.7506,101.1,103.91,45175393.0,1.0,0.0,AMZN,XNAS,2023-04-05
102.75,104.2,102.11,103.95,48662496.0,104.2,102.11,103.95,102.75,48662496.0,1.0,0.0,AMZN,XNAS,2023-04-04
102.3,103.29,101.43,102.41,41093100.0,103.29,101.43,102.41,102.3,41135733.0,1.0,0.0,AMZN,XNAS,2023-04-03
102.16,103.49,101.95,103.29,56704300.0,103.49,101.95,103.29,102.16,56750317.0,1.0,0.0,AMZN,XNAS,2023-03-31
101.55,103.04,101.01,102.0,53578800.0,103.04,101.01,102.0,101.55,53633398.0,1.0,0.0,AMZN,XNAS,2023-03-30
98.69,100.42,98.56,100.25,49708500.0,100.4218,98.56,100.25,98.69,49783279.0,1.0,0.0,AMZN,XNAS,2023-03-29
98.11,98.44,96.29,97.24,38669200.0,98.44,96.29,97.24,98.11,38720050.0,1.0,0.0,AMZN,XNAS,2023-03-28
99.07,99.34,97.08,98.04,46674700.0,99.34,97.08,98.04,99.07,46721296.0,1.0,0.0,AMZN,XNAS,2023-03-27
98.07,98.3,96.4,98.13,56095400.0,98.3,96.4,98.13,98.065,56144801.0,1.0,0.0,AMZN,XNAS,2023-03-24
100.43,101.06,97.62,98.71,57491000.0,101.06,97.62,98.71,100.43,57559310.0,1.0,0.0,AMZN,XNAS,2023-03-23
100.45,102.1,98.61,98.7,57093500.0,102.1,98.61,98.7,100.45,57475365.0,1.0,0.0,AMZN,XNAS,2023-03-22
98.14,100.85,98.0,100.61,58508700.0,100.845,98.0,100.61,98.14,58597275.0,1.0,0.0,AMZN,XNAS,2023-03-21
98.41,98.48,95.7,97.71,62305400.0,98.48,95.7,97.71,98.41,62388911.0,1.0,0.0,AMZN,XNAS,2023-03-20
99.79,100.66,97.46,98.95,87173200.0,100.66,97.455,98.95,99.79,87300242.0,1.0,0.0,AMZN,XNAS,2023-03-17
95.75,100.99,95.61,100.04,84381871.0,100.99,95.61,100.04,95.75,84558934.0,1.0,0.0,AMZN,XNAS,2023-03-16
93.22,96.67,93.0704,96.2,70731792.0,96.67,93.07,96.2,93.22,70731792.0,1.0,0.0,AMZN,XNAS,2023-03-15
93.83,95.07,92.71,94.88,60849900.0,95.07,92.71,94.88,93.83,60912674.0,1.0,0.0,AMZN,XNAS,2023-03-14
89.97,94.02,88.12,92.43,69562471.0,94.02,88.12,92.43,89.97,72397053.0,1.0,0.0,AMZN,XNAS,2023-03-13
92.67,93.57,90.25,90.73,69747500.0,93.57,90.245,90.73,92.67,69827490.0,1.0,0.0,AMZN,XNAS,2023-03-10
93.68,96.21,92.18,92.25,56136400.0,96.21,92.18,92.25,93.68,56218705.0,1.0,0.0,AMZN,XNAS,2023-03-09
93.6,94.17,92.18,93.92,44823700.0,94.165,92.18,93.92,93.6,44899128.0,1.0,0.0,AMZN,XNAS,2023-03-08
94.06,95.09,92.78,93.55,49100668.0,95.09,92.78,93.55,94.06,49100668.0,1.0,0.0,AMZN,XNAS,2023-03-07
95.19,96.55,93.74,93.75,52008400.0,96.545,93.74,93.75,95.19,52112355.0,1.0,0.0,AMZN,XNAS,2023-03-06
92.74,94.94,92.66,94.9,55695300.0,94.94,92.66,94.9,92.74,55759609.0,1.0,0.0,AMZN,XNAS,2023-03-03
91.41,92.23,90.39,92.13,55509400.0,92.23,90.39,92.13,91.41,55574820.0,1.0,0.0,AMZN,XNAS,2023-03-02
93.87,94.68,91.59,92.17,52145000.0,94.68,91.59,92.17,93.87,52299524.0,1.0,0.0,AMZN,XNAS,2023-03-01
93.14,94.69,92.92,94.23,43901300.0,94.69,92.92,94.23,93.14,43959290.0,1.0,0.0,AMZN,XNAS,2023-02-28
94.28,94.78,93.14,93.76,47425600.0,94.78,93.14,93.76,94.28,47470321.0,1.0,0.0,AMZN,XNAS,2023-02-27
93.53,94.14,92.32,93.5,57010100.0,94.14,92.3186,93.5,93.53,57053812.0,1.0,0.0,AMZN,XNAS,2023-02-24
96.12,96.43,93.67,95.82,48402600.0,96.43,93.67,95.82,96.12,48466994.0,1.0,0.0,AMZN,XNAS,2023-02-23
95.1,97.01,94.8,95.79,57638900.0,97.01,94.8,95.79,95.1,59534094.0,1.0,0.0,AMZN,XNAS,2023-02-22
95.34,95.61,94.27,94.58,56515600.0,95.605,94.27,94.58,95.335,56580360.0,1.0,0.0,AMZN,XNAS,2023-02-21
97.8,97.94,95.65,97.2,60029405.0,97.94,95.65,97.2,97.8,60029405.0,1.0,0.0,AMZN,XNAS,2023-02-17
99.21,100.63,98.1,98.15,56204700.0,100.63,98.1,98.15,99.21,56339173.0,1.0,0.0,AMZN,XNAS,2023-02-16
99.09,101.17,98.45,101.16,47957600.0,101.17,98.45,101.16,99.09,48053879.0,1.0,0.0,AMZN,XNAS,2023-02-15
98.41,100.92,97.5231,99.7,56202898.0,100.9207,97.52,99.7,98.41,56202898.0,1.0,0.0,AMZN,XNAS,2023-02-14
97.85,99.68,96.91,99.54,52786700.0,99.68,96.91,99.54,97.85,52841464.0,1.0,0.0,AMZN,XNAS,2023-02-13
97.56,98.82,96.23,97.61,52698600.0,98.8163,96.23,97.61,97.56,52740133.0,1.0,0.0,AMZN,XNAS,2023-02-10
101.32,101.78,97.57,98.24,64622488.0,101.78,97.57,98.24,101.32,64622489.0,1.0,0.0,AMZN,XNAS,2023-02-09
102.04,102.6699,98.775,100.05,75878305.0,102.6699,98.775,100.05,102.04,75878304.0,1.0,0.0,AMZN,XNAS,2023-02-08
101.17,102.41,98.08,102.11,119501297.0,102.41,98.08,102.11,101.17,119501301.0,1.0,0.0,AMZN,XNAS,2023-02-07
102.925,103.9484,100.65,102.18,81945203.0,103.9484,100.65,102.18,102.925,81945199.0,1.0,0.0,AMZN,XNAS,2023-02-06
105.26,108.78,102.52,103.39,144173400.0,108.78,102.52,103.39,105.26,144374828.0,1.0,0.0,AMZN,XNAS,2023-02-03
110.245,114.0,108.88,112.91,158154243.0,114.0,108.88,112.91,110.245,158154243.0,1.0,0.0,AMZN,XNAS,2023-02-02
102.53,106.24,101.24,105.15,80450117.0,106.24,101.24,105.15,102.53,80450121.0,1.0,0.0,AMZN,XNAS,2023-02-01
101.155,103.3484,101.14,103.13,66527250.0,103.3484,101.14,103.13,101.155,66527253.0,1.0,0.0,AMZN,XNAS,2023-01-31
101.09,101.74,99.01,100.55,70691859.0,101.74,99.01,100.55,101.09,70691860.0,1.0,0.0,AMZN,XNAS,2023-01-30
99.53,103.49,99.53,102.24,87678100.0,103.485,99.53,102.24,99.53,87775614.0,1.0,0.0,AMZN,XNAS,2023-01-27
98.235,99.49,96.92,99.22,68523562.0,99.49,96.92,99.22,98.235,68523557.0,1.0,0.0,AMZN,XNAS,2023-01-26
92.56,97.24,91.52,97.18,94261570.0,97.24,91.52,97.18,92.56,94261570.0,1.0,0.0,AMZN,XNAS,2023-01-25
96.93,98.09,96.0,96.32,66929445.0,98.09,96.0,96.32,96.93,66929452.0,1.0,0.0,AMZN,XNAS,2023-01-24
97.56,97.78,95.86,97.52,76501102.0,97.78,95.86,97.52,97.56,76501103.0,1.0,0.0,AMZN,XNAS,2023-01-23
93.86,97.35,93.2,97.25,67307100.0,97.354,93.2025,97.25,93.86,67481539.0,1.0,0.0,AMZN,XNAS,2023-01-20
94.74,95.44,92.86,93.68,69002656.0,95.44,92.86,93.68,94.74,69002663.0,1.0,0.0,AMZN,XNAS,2023-01-19
97.25,99.32,95.38,95.46,79570367.0,99.32,95.38,95.46,97.25,79570370.0,1.0,0.0,AMZN,XNAS,2023-01-18
98.68,98.89,95.73,96.05,72755000.0,98.89,95.73,96.05,98.68,72755001.0,1.0,0.0,AMZN,XNAS,2023-01-17
94.18,98.37,94.12,98.12,85549432.0,98.37,94.12,98.12,94.18,85549432.0,1.0,0.0,AMZN,XNAS,2023-01-13
96.93,97.19,93.5,95.27,85254781.0,97.19,93.5,95.27,96.93,85254781.0,1.0,0.0,AMZN,XNAS,2023-01-12
90.93,95.26,90.93,95.09,103126203.0,95.26,90.93,95.09,90.93,103126183.0,1.0,0.0,AMZN,XNAS,2023-01-11
87.57,90.185,87.29,89.87,67756602.0,90.185,87.29,89.87,87.57,67756601.0,1.0,0.0,AMZN,XNAS,2023-01-10
87.46,89.48,87.08,87.36,65266059.0,89.48,87.08,87.36,87.46,65266056.0,1.0,0.0,AMZN,XNAS,2023-01-09
83.03,86.4,81.43,86.08,83219100.0,86.4,81.43,86.08,83.03,83303361.0,1.0,0.0,AMZN,XNAS,2023-01-06
85.33,85.42,83.07,83.12,67930828.0,85.42,83.07,83.12,85.33,67930825.0,1.0,0.0,AMZN,XNAS,2023-01-05
86.55,86.98,83.36,85.14,68885123.0,86.98,83.36,85.14,86.55,68885123.0,1.0,0.0,AMZN,XNAS,2023-01-04
85.46,86.96,84.205,85.82,76706039.0,86.96,84.205,85.82,85.46,76706040.0,1.0,0.0,AMZN,XNAS,2023-01-03
83.12,84.05,82.47,84.0,62401194.0,84.05,82.47,84.0,83.12,62401194.0,1.0,0.0,AMZN,XNAS,2022-12-30
82.87,84.55,82.55,84.18,54995895.0,84.55,82.55,84.18,82.87,54995895.0,1.0,0.0,AMZN,XNAS,2022-12-29
82.8,83.48,81.69,81.82,58228578.0,83.48,81.69,81.82,82.8,58228575.0,1.0,0.0,AMZN,XNAS,2022-12-28
84.97,85.35,83.0,83.04,57284039.0,85.35,83.0,83.04,84.97,57284035.0,1.0,0.2,AMZN,XNAS,2022-12-27
83.25,85.78,82.9344,85.25,57433655.0,85.78,82.9344,85.25,83.25,57433655.0,1.0,0.0,AMZN,XNAS,2022-12-23
85.52,85.68,82.25,83.79,81431312.0,85.68,82.25,83.79,85.52,81431314.0,1.0,0.0,AMZN,XNAS,2022-12-22
86.175,87.225,85.21,86.77,59267160.0,87.225,85.21,86.77,86.175,59267156.0,1.0,0.0,AMZN,XNAS,2022-12-21
85.33,86.61,84.33,85.19,74348305.0,86.61,84.33,85.19,85.33,74348301.0,1.0,0.0,AMZN,XNAS,2022-12-20
87.51,87.63,84.51,84.92,83531453.0,87.63,84.51,84.92,87.51,83531460.0,1.0,0.0,AMZN,XNAS,2022-12-19
88.27,89.35,86.73,87.86,146044000.0,89.35,86.73,87.86,88.265,146144064.0,1.0,0.0,AMZN,XNAS,2022-12-16
89.89,89.97,87.47,88.45,84802883.0,89.97,87.47,88.45,89.89,84802877.0,1.0,0.0,AMZN,XNAS,2022-12-15
92.502,93.4581,89.87,91.58,70298008.0,93.4581,89.87,91.58,92.502,70298006.0,1.0,0.0,AMZN,XNAS,2022-12-14
95.23,96.25,90.52,92.49,100212000.0,96.25,90.52,92.49,95.23,100212038.0,1.0,0.0,AMZN,XNAS,2022-12-13
89.21,90.58,87.87,90.55,61999762.0,90.58,87.87,90.55,89.21,61999762.0,1.0,0.0,AMZN,XNAS,2022-12-12
88.9,90.3,88.63,89.09,67316900.0,90.3,88.63,89.09,88.9,67398506.0,1.0,0.0,AMZN,XNAS,2022-12-09
89.24,90.86,87.88,90.35,73305891.0,90.86,87.88,90.35,89.24,73305887.0,1.0,0.0,AMZN,XNAS,2022-12-08
88.34,89.89,87.48,88.46,68086883.0,89.89,87.48,88.46,88.34,68086880.0,1.0,0.0,AMZN,XNAS,2022-12-07
90.5,91.04,87.9,88.25,75503633.0,91.04,87.9,88.25,90.5,75503628.0,1.0,0.0,AMZN,XNAS,2022-12-06
93.05,94.06,90.82,91.01,71535531.0,94.06,90.82,91.01,93.05,71535526.0,1.0,0.0,AMZN,XNAS,2022-12-05
94.48,95.36,93.78,94.13,72427000.0,95.36,93.78,94.13,94.475,72496388.0,1.0,0.0,AMZN,XNAS,2022-12-02
96.99,97.23,94.92,95.5,68487969.0,97.23,94.92,95.5,96.99,68487969.0,1.0,0.0,AMZN,XNAS,2022-12-01
92.47,96.54,91.525,96.54,102805806.0,96.54,91.525,96.54,92.47,102805806.0,1.0,0.0,AMZN,XNAS,2022-11-30
94.04,94.41,91.44,92.42,65567289.0,94.41,91.44,92.42,94.04,65567286.0,1.0,0.0,AMZN,XNAS,2022-11-29
93.93,96.4,93.43,93.95,75062316.0,96.4,93.43,93.95,93.93,75062316.0,1.0,0.0,AMZN,XNAS,2022-11-28
93.79,94.43,93.07,93.41,35088600.0,94.43,93.065,93.41,93.79,35088609.0,1.0,0.0,AMZN,XNAS,2022-11-25
93.24,94.58,92.83,94.13,59272800.0,94.58,92.83,94.13,93.24,59414684.0,1.0,0.0,AMZN,XNAS,2022-11-23
92.62,93.35,90.87,93.2,62191962.0,93.35,90.87,93.2,92.62,62191962.0,1.0,0.0,AMZN,XNAS,2022-11-22
93.97,95.02,90.59,92.46,84330270.0,95.02,90.59,92.46,93.97,84330270.0,1.0,0.0,AMZN,XNAS,2022-11-21
95.95,95.99,92.48,94.14,72336500.0,95.99,92.48,94.14,95.95,72428185.0,1.0,0.0,AMZN,XNAS,2022-11-18
95.37,96.97,94.03,94.85,82617875.0,96.97,94.03,94.85,95.37,82617865.0,1.0,0.0,AMZN,XNAS,2022-11-17
96.85,98.4879,95.54,97.12,87958828.0,98.4879,95.54,97.12,96.85,87958828.0,1.0,0.0,AMZN,XNAS,2022-11-16
103.21,103.79,97.34,98.94,111336317.0,103.79,97.34,98.94,103.21,111336317.0,1.0,0.0,AMZN,XNAS,2022-11-15
