open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
120.93,124.83,120.45,124.54,44297915.0,124.83,120.45,124.54,120.93,44297915.0,1.0,0.0,GOOGL,XNAS,2023-07-13
118.8,120.33,118.4145,118.93,30404409.0,120.33,118.4145,118.93,118.8,30404409.0,1.0,0.0,GOOGL,XNAS,2023-07-12
116.29,117.71,115.35,117.14,23078782.0,117.71,115.35,117.14,116.29,23078782.0,1.0,0.0,GOOGL,XNAS,2023-07-11
118.3,118.305,116.135,116.45,35315235.0,118.305,116.135,116.45,118.3,35315235.0,1.0,0.0,GOOGL,XNAS,2023-07-10
120.1,121.05,119.4,119.48,21709549.0,121.05,119.4,119.48,120.1,21709549.0,1.0,0.0,GOOGL,XNAS,2023-07-07
119.795,120.3,118.4,120.11,24778801.0,120.3,118.4,120.11,119.795,24778801.0,1.0,0.0,GOOGL,XNAS,2023-07-06
119.24,122.61,119.23,121.75,27584809.0,122.61,119.23,121.75,119.24,27584809.0,1.0,0.0,GOOGL,XNAS,2023-07-05
119.24,120.19,118.8182,119.9,14467850.0,120.19,118.8182,119.9,119.24,14467850.0,1.0,0.0,GOOGL,XNAS,2023-07-03
120.17,121.08,119.69,119.7,29532241.0,121.08,119.69,119.7,120.17,29532241.0,1.0,0.0,GOOGL,XNAS,2023-06-30
119.24,120.06,118.295,119.1,24090902.0,120.06,118.295,119.1,119.24,24090902.0,1.0,0.0,GOOGL,XNAS,2023-06-29
117.09,120.39,116.85,120.18,27091449.0,120.39,116.85,120.18,117.09,27091449.0,1.0,0.0,GOOGL,XNAS,2023-06-28
117.08,119.08,116.1,118.33,39535936.0,119.08,116.1,118.33,117.08,39535936.0,1.0,0.0,GOOGL,XNAS,2023-06-27
120.76,122.0,118.265,118.34,33969897.0,122.0,118.265,118.34,120.76,33969897.0,1.0,0.0,GOOGL,XNAS,2023-06-26
121.38,122.7879,121.06,122.34,34913641.0,122.7879,121.06,122.34,121.38,34913637.0,1.0,0.0,GOOGL,XNAS,2023-06-23
120.0,123.24,118.83,123.15,26952250.0,123.24,118.83,123.15,120.0,26952246.0,1.0,0.0,GOOGL,XNAS,2023-06-22
122.4,122.66,120.1,120.55,30306340.0,122.66,120.1,120.55,122.4,30306336.0,1.0,0.0,GOOGL,XNAS,2023-06-21
122.93,124.57,122.14,123.1,26097490.0,124.57,122.14,123.1,122.93,26097492.0,1.0,0.0,GOOGL,XNAS,2023-06-20
125.93,126.108,123.28,123.53,45535551.0,126.108,123.28,123.53,125.93,45535553.0,1.0,0.0,GOOGL,XNAS,2023-06-16
123.14,125.46,122.4,125.09,35246273.0,125.46,122.4,125.09,123.14,35246268.0,1.0,0.0,GOOGL,XNAS,2023-06-15
123.1,124.05,121.45,123.67,30592301.0,124.05,121.45,123.67,123.1,30592297.0,1.0,0.0,GOOGL,XNAS,2023-06-14
124.98,125.16,123.18,123.83,22278311.0,125.16,123.18,123.83,124.98,22278313.0,1.0,0.0,GOOGL,XNAS,2023-06-13
122.785,124.05,121.66,123.64,28338740.0,124.05,121.66,123.64,122.785,28338743.0,1.0,0.0,GOOGL,XNAS,2023-06-12
122.25,123.755,121.91,122.23,23778320.0,123.755,121.91,122.23,122.25,23778319.0,1.0,0.0,GOOGL,XNAS,2023-06-09
122.225,123.225,121.24,122.14,29389170.0,123.225,121.24,122.14,122.225,29389167.0,1.0,0.0,GOOGL,XNAS,2023-06-08
