open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
339.56,343.74,339.02,342.66,20546600.0,343.74,339.02,342.66,339.56,20567159.0,1.0,0.0,MSFT,XNAS,2023-07-13
336.6,341.65,335.67,337.2,29965300.0,341.652,335.67,337.2,336.6,29995262.0,1.0,0.0,MSFT,XNAS,2023-07-12
331.06,332.86,327.0,332.47,26665400.0,332.86,327.0,332.47,331.06,26698218.0,1.0,0.0,MSFT,XNAS,2023-07-11
334.6,335.23,327.59,331.83,32728000.0,335.23,327.59,331.83,334.6,32791449.0,1.0,0.0,MSFT,XNAS,2023-07-10
339.32,341.79,337.0,337.22,21185300.0,341.79,337.0,337.22,339.32,21214824.0,1.0,0.0,MSFT,XNAS,2023-07-07
337.3,342.99,335.5,341.27,28161200.0,342.99,335.5,341.27,337.3,28195534.0,1.0,0.0,MSFT,XNAS,2023-07-06
335.09,341.65,334.73,338.15,18156200.0,341.65,334.7276,338.15,335.09,18172378.0,1.0,0.0,MSFT,XNAS,2023-07-05
339.19,340.9,336.571,337.99,12508692.0,340.9,336.571,337.99,339.19,12508692.0,1.0,0.0,MSFT,XNAS,2023-07-03
337.75,342.73,337.2,340.54,26823800.0,342.73,337.2,340.54,337.75,26832756.0,1.0,0.0,MSFT,XNAS,2023-06-30
334.71,336.11,332.62,335.05,16881565.0,336.11,332.62,335.05,334.71,16997042.0,1.0,0.0,MSFT,XNAS,2023-06-29
334.66,337.98,333.81,335.85,20011000.0,337.98,333.81,335.85,334.66,20259523.0,1.0,0.0,MSFT,XNAS,2023-06-28
331.86,336.15,329.3,334.57,24294900.0,336.15,329.3,334.57,331.86,24354110.0,1.0,0.0,MSFT,XNAS,2023-06-27
333.72,336.11,328.49,328.6,21477400.0,336.11,328.49,328.6,333.72,21520582.0,1.0,0.0,MSFT,XNAS,2023-06-26
334.36,337.96,333.45,335.02,23084700.0,337.96,333.45,335.02,334.36,23146901.0,1.0,0.0,MSFT,XNAS,2023-06-23
334.12,340.12,333.34,339.71,23556800.0,340.12,333.34,339.71,334.12,23556764.0,1.0,0.0,MSFT,XNAS,2023-06-22
336.37,337.73,332.07,333.56,25117800.0,337.73,332.07,333.56,336.37,25117799.0,1.0,0.0,MSFT,XNAS,2023-06-21
339.31,342.08,335.86,338.05,26375400.0,342.08,335.86,338.05,339.31,26375407.0,1.0,0.0,MSFT,XNAS,2023-06-20
351.32,351.47,341.95,342.33,46533600.0,351.47,341.95,342.33,351.32,46551985.0,1.0,0.0,MSFT,XNAS,2023-06-16
337.48,349.84,337.2,348.1,38899100.0,349.84,337.2,348.1,337.48,38899075.0,1.0,0.0,MSFT,XNAS,2023-06-15
334.34,339.04,332.81,337.34,26003800.0,339.04,332.81,337.34,334.34,26003791.0,1.0,0.0,MSFT,XNAS,2023-06-14
334.47,336.98,330.39,334.29,22951300.0,336.98,330.39,334.29,334.465,22951279.0,1.0,0.0,MSFT,XNAS,2023-06-13
328.58,332.1,325.16,331.85,24260300.0,332.0999,325.16,331.85,328.58,24306753.0,1.0,0.0,MSFT,XNAS,2023-06-12
324.99,329.99,324.41,326.79,22514900.0,329.99,324.41,326.79,324.99,22528950.0,1.0,0.0,MSFT,XNAS,2023-06-09
323.94,326.64,323.35,325.26,23277700.0,326.64,323.35,325.26,323.935,23277708.0,1.0,0.0,MSFT,XNAS,2023-06-08
331.65,334.49,322.5,323.38,40717100.0,334.49,322.5,323.38,331.65,40717129.0,1.0,0.0,MSFT,XNAS,2023-06-07
335.33,335.37,332.17,333.68,20396200.0,335.37,332.17,333.68,335.33,20396223.0,1.0,0.0,MSFT,XNAS,2023-06-06
335.22,338.56,334.66,335.94,21307100.0,338.5599,334.6601,335.94,335.22,21307053.0,1.0,0.0,MSFT,XNAS,2023-06-05
334.25,337.5,332.55,335.4,25864000.0,337.5,332.55,335.4,334.247,25873769.0,1.0,0.0,MSFT,XNAS,2023-06-02
325.93,333.53,324.72,332.58,26773900.0,333.53,324.72,332.58,325.93,26773851.0,1.0,0.0,MSFT,XNAS,2023-06-01
332.29,335.94,327.33,328.39,45950600.0,335.94,327.33,328.39,332.29,45546858.0,1.0,0.0,MSFT,XNAS,2023-05-31
335.23,335.74,330.52,331.21,29503100.0,335.74,330.52,331.21,335.23,29503070.0,1.0,0.0,MSFT,XNAS,2023-05-30
324.02,333.4,323.88,332.89,36600900.0,333.4,323.88,332.89,324.02,36630633.0,1.0,0.0,MSFT,XNAS,2023-05-26
323.24,326.9,320.0,325.92,43301700.0,326.9,320.0,325.92,323.24,43301743.0,1.0,0.0,MSFT,XNAS,2023-05-25
314.73,316.5,312.61,313.85,23384900.0,316.5,312.61,313.85,314.73,23384887.0,1.0,0.0,MSFT,XNAS,2023-05-24
